"Data Import Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table:","Sales Invoice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DocType:","Sales Invoice","","","","","","","","","","","","~","Sales Invoice Item","items","","","","","","","","","","~","~","~","~","Sales Taxes and Charges","taxes","","~","~","Payment Schedule","payment_schedule","~","Sales Invoice Payment","payments","~","Sales Team","sales_team"
"Column Labels:","Series","Company","Date","Currency","Exchange Rate","Price List","Price List Currency","Price List Exchange Rate","Net Total (Company Currency)","Grand Total (Company Currency)","Grand Total","Debit To","","Item Name","Description","UOM","UOM Conversion Factor","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Income Account","Cost Center","Quantity","","","","","Type","Account Head","Description","","","Due Date","Payment Amount","","Mode of Payment","Amount","","Sales Person",""
"Column Name:","naming_series","company","posting_date","currency","conversion_rate","selling_price_list","price_list_currency","plc_conversion_rate","base_net_total","base_grand_total","grand_total","debit_to","~","item_name","description","uom","conversion_factor","rate","amount","base_rate","base_amount","income_account","cost_center","qty","~","~","~","~","charge_type","account_head","description","~","~","due_date","payment_amount","~","mode_of_payment","amount","~","sales_person","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes",""
"Type:","Select","Link","Date","Link","Float","Link","Link","Float","Currency","Currency","Currency","Link","","Data","Text Editor","Link","Float","Currency","Currency","Currency","Currency","Link","Link","Float","","","","","Select","Link","Small Text","","","Date","Currency","","Link","Currency","","Link",""
"Info:","One of: ACC-SINV-.YYYY.-","Valid Company","dd-mm-yyyy","Valid Currency","","Valid Price List","Valid Currency","","","","","Valid Account","","","","Valid UOM","","","","","","Valid Account","Valid Cost Center","","","","","","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity","Valid Account","","","","dd-mm-yyyy","","","Valid Mode of Payment","","","Valid Sales Person",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","202197","Shahico Services","29-11-2016","","1","","","1","300","300","300","Debtors - SHCO","","","","NOS","1","","300","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","29-11-2016","300","","300","300","","",""
"","202245","Shahico Services","20-12-2016","","1","","","1","2107","2107","2107","Debtors - SHCO","","","","NOS","1","","2107","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","20-12-2016","2107","","2107","2107","","",""
"","202496","Shahico Services","28-02-2017","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","30-12-2016","5","","5","5","","",""
"","202761","Shahico Services","16-06-2017","","1","","","1","175","175","175","Debtors - SHCO","","","","NOS","1","","175","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","16-06-2017","175","","175","175","","",""
"","202830","Shahico Services","7/4/2017","","1","","","1","200","200","200","Debtors - SHCO","","","","NOS","1","","200","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","7/4/2017","200","","200","200","","",""
"","203531","Shahico Services","3/5/2018","","1","","","1","175","175","175","Debtors - SHCO","","","","NOS","1","","175","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","3/5/2018","175","","175","175","","",""
"","203818","Shahico Services","6/3/2018","","1","","","1","250","250","250","Debtors - SHCO","","","","NOS","1","","250","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","6/3/2018","250","","250","250","","",""
"","203828","Shahico Services","6/6/2018","","1","","","1","150","150","150","Debtors - SHCO","","","","NOS","1","","150","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","6/6/2018","150","","150","150","","",""
"","204217","Shahico Services","14-10-2018","","1","","","1","570","570","570","Debtors - SHCO","","","","NOS","1","","570","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","14-10-2018","570","","570","570","","",""
"","204517","Shahico Services","27-02-2019","","1","","","1","120","120","120","Debtors - SHCO","","","","NOS","1","","120","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","27-02-2019","120","","120","120","","",""
"","204628","Shahico Services","4/2/2019","","1","","","1","172","172","172","Debtors - SHCO","","","","NOS","1","","172","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","4/2/2019","172","","172","172","","",""
"","204834","Shahico Services","16-06-2019","","1","","","1","20","20","20","Debtors - SHCO","","","","NOS","1","","20","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","16-06-2019","20","","20","20","","",""
"","204835","Shahico Services","16-06-2019","","1","","","1","50","50","50","Debtors - SHCO","","","","NOS","1","","50","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","16-06-2019","50","","50","50","","",""
"","204989","Shahico Services","28-07-2019","","1","","","1","10","10","10","Debtors - SHCO","","","","NOS","1","","10","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","28-07-2019","10","","10","10","","",""
"","205045","Shahico Services","24-08-2019","","1","","","1","120","120","120","Debtors - SHCO","","","","NOS","1","","120","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","24-08-2019","120","","120","120","","",""
"","201833","Shahico Services","8/9/2016","","1","","","1","32","32","32","Debtors - SHCO","","","","NOS","1","","32","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","8/9/2016","32","","32","32","","",""
"","201863","Shahico Services","15-08-2016","","1","","","1","10","10","10","Debtors - SHCO","","","","NOS","1","","10","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","15-08-2016","10","","10","10","","",""
"","201864","Shahico Services","17-08-2016","","1","","","1","35","35","35","Debtors - SHCO","","","","NOS","1","","35","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","17-08-2016","35","","35","35","","",""
"","201888","Shahico Services","25-08-2016","","1","","","1","20","20","20","Debtors - SHCO","","","","NOS","1","","20","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","25-08-2016","20","","20","20","","",""
"","201943","Shahico Services","9/10/2016","","1","","","1","175","175","175","Debtors - SHCO","","","","NOS","1","","175","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","9/10/2016","175","","175","175","","",""
"","201949","Shahico Services","18-09-2016","","1","","","1","20","20","20","Debtors - SHCO","","","","NOS","1","","20","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","18-09-2016","20","","20","20","","",""
"","201981","Shahico Services","26-09-2016","","1","","","1","7","7","7","Debtors - SHCO","","","","NOS","1","","7","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","26-09-2016","7","","7","7","","",""
"","201984","Shahico Services","28-09-2016","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","28-09-2016","5","","5","5","","",""
"","201988","Shahico Services","28-09-2016","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","28-09-2016","5","","5","5","","",""
"","202021","Shahico Services","10/12/2016","","1","","","1","165","165","165","Debtors - SHCO","","","","NOS","1","","165","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","10/12/2016","165","","165","165","","",""
"","202040","Shahico Services","13-10-2016","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","13-10-2016","5","","5","5","","",""
"","202070","Shahico Services","22-10-2016","","1","","","1","75","75","75","Debtors - SHCO","","","","NOS","1","","75","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","22-10-2016","75","","75","75","","",""
"","202080","Shahico Services","24-10-2016","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","24-10-2016","5","","5","5","","",""
"","202087","Shahico Services","26-10-2016","","1","","","1","7","7","7","Debtors - SHCO","","","","NOS","1","","7","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","26-10-2016","7","","7","7","","",""
"","202094","Shahico Services","27-10-2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","27-10-2016","3","","3","3","","",""
"","202095","Shahico Services","27-10-2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","27-10-2016","3","","3","3","","",""
"","202096","Shahico Services","27-10-2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","27-10-2016","3","","3","3","","",""
"","202114","Shahico Services","11/6/2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","11/3/2016","3","","3","3","","",""
"","202116","Shahico Services","11/6/2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","11/6/2016","3","","3","3","","",""
"","202134","Shahico Services","11/9/2016","","1","","","1","10","10","10","Debtors - SHCO","","","","NOS","1","","10","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","11/9/2016","10","","10","10","","",""
"","202162","Shahico Services","17-11-2016","","1","","","1","3","3","3","Debtors - SHCO","","","","NOS","1","","3","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","17-11-2016","3","","3","3","","",""
"","202182","Shahico Services","23-11-2016","","1","","","1","165","165","165","Debtors - SHCO","","","","NOS","1","","165","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","23-11-2016","165","","165","165","","",""
"","202193","Shahico Services","28-11-2016","","1","","","1","7","7","7","Debtors - SHCO","","","","NOS","1","","7","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","28-11-2016","7","","7","7","","",""
"","202195","Shahico Services","29-11-2016","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","29-11-2016","5","","5","5","","",""
"","202173","Shahico Services","20-11-2016","","1","","","1","20","20","20","Debtors - SHCO","","","","NOS","1","","20","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","30-11-2016","20","","20","20","","",""
"","202250","Shahico Services","14-12-2016","","1","","","1","330","330","330","Debtors - SHCO","","","","NOS","1","","330","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","14-12-2016","330","","330","330","","",""
"","202363","Shahico Services","24-10-2016","","1","","","1","0","0","0","Debtors - SHCO","","","","NOS","1","","0","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","24-10-2016","0","","0","0","","",""
"","202541","Shahico Services","19-03-2017","","1","","","1","1100","1100","1100","Debtors - SHCO","","","","NOS","1","","1100","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","19-03-2017","1100","","1100","1100","","",""
"","202597","Shahico Services","4/9/2017","","1","","","1","5","5","5","Debtors - SHCO","","","","NOS","1","","5","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","4/9/2017","5","","5","5","","",""
"","202754","Shahico Services","6/11/2017","","1","","","1","550","550","550","Debtors - SHCO","","","","NOS","1","","550","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","6/11/2017","550","","550","550","","",""
"","202763","Shahico Services","15-06-2017","","1","","","1","165","165","165","Debtors - SHCO","","","","NOS","1","","165","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","15-06-2017","165","","165","165","","",""
"","202871","Shahico Services","15-07-2017","","1","","","1","20","20","20","Debtors - SHCO","","","","NOS","1","","20","1","1","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","15-07-2017","20","","20","20","","",""
